band,wavelength_nm,2018,2025,Both years
246,1730,0.17637282881439964,0.20543413381125483,0.19856273344548997
247,1740,0.1501936391936042,0.1875207687263351,0.17468399579594307
248,1740,0.12405786434763168,0.16845829522436107,0.15560734264665052
249,1750,0.1370327636955137,0.18347802138004346,0.16885450630439822
250,1750,0.12441016166467755,0.16951854270754066,0.15506817198233777
251,1760,0.11065743607423549,0.15948051073477834,0.14267951070456486
252,1760,0.12845305565662077,0.16025681791154156,0.14573064294726618
253,1770,0.16389077541463512,0.19362344371878076,0.17659491060033217
254,1770,0.1636043334732976,0.19853660115047153,0.17908738100619062
255,1780,0.3274291668795141,0.32485808960293316,0.3049821210255253
256,1780,0.39899968023187876,0.35851484153403174,0.34475161177421176
257,1790,0.4673144162592318,0.4558961045889124,0.43298595621073044
258,1790,0.7816219607449525,0.6381056562198768,0.6209789245244012
259,1960,0.6169556183283498,0.816480407960051,0.7479062130466995
260,1960,0.6169556183283498,0.816480407960051,0.7479062130466995
261,1970,0.6169556183283498,0.816480407960051,0.7479062130466995
262,1970,0.6148989955767866,0.6200221514390749,0.6818116999786615
263,1980,0.5903842211121457,0.6157393144471459,0.6649077693412109
264,1980,0.5315913891994097,0.5231094728772939,0.5915381254032873
265,1990,0.6124697231148285,0.6957990331543925,0.7277457499857838
266,1990,0.5218830638434216,0.540789120467271,0.6024106343740422
267,2000,0.5702055927297505,0.5525910139818977,0.622938965955498
268,2000,0.7572577766283259,0.7227272532041163,0.781174323559668
269,2009.9999999999998,1.494288752502876,1.1763537719760149,1.2694018062458103
270,2009.9999999999998,0.9238766768283002,0.8382871492937692,0.8973274026610333
271,2020,0.76295803331282,0.6905007069484258,0.7281355015666751
272,2020,0.39153256536273884,0.37508161699417425,0.3989335901194804
273,2029.9999999999998,0.27620930468526367,0.28629755909903987,0.2955735087163531
274,2029.9999999999998,0.21865853354421,0.23693853071108467,0.23360083775514118
275,2040,0.18856272546396116,0.228896860410098,0.21281159915845232
276,2040,0.15964939320093044,0.2017351670040404,0.1807230159701947
277,2050,0.13484572707930248,0.17102799685301615,0.15122760548491476
278,2050,0.1439519944144315,0.17900245350605215,0.15890220865688393
279,2060,0.2044362091746926,0.22865198769890813,0.20938562942983382
280,2060,0.16629369960654614,0.20398473872293815,0.18564930055378748
281,2070,0.1976329782865294,0.23233219311950187,0.21690170427059616
