band_number,wavelength_nm,delta,sd_diff,n_pairs
188,1320,-6.784176139734012e-4,0.0075788825274274805,1057
189,1330,-6.465988295839551e-4,0.007583308401119314,1057
190,1330,-6.035020120457565e-4,0.007618061660648471,1057
191,1340,-5.617554863766639e-4,0.0076446501397498335,1057
192,1340,-5.097227788236612e-4,0.007702403489720628,1057
193,1350,-4.305780379312328e-4,0.007908827433420154,1057
194,1350,-3.57588770341562e-4,0.008350105144221303,1057
195,1360,-1.2310778831116034e-4,0.009519419977222702,1057
196,1360,-5.122405817426244e-4,0.008422309960305838,1057
197,1370,-5.122405817426244e-4,0.008422309960305838,1057
198,1370,-5.122405817426244e-4,0.008422309960305838,1057
199,1380,-5.122405817426244e-4,0.008422309960305838,1057
200,1380,-5.122405817426244e-4,0.008422309960305838,1057
201,1390,-5.122405817426244e-4,0.008422309960305838,1057
202,1390,-5.122405817426244e-4,0.008422309960305838,1057
203,1400,-5.122405817426244e-4,0.008422309960305838,1057
204,1400,-5.122405817426244e-4,0.008422309960305838,1057
205,1410,-5.122405817426244e-4,0.008422309960305838,1057
206,1410,-0.0034021795177900083,0.010695972043259555,1057
207,1420,0.0012649937312274157,0.010037728370992257,1057
208,1420,7.080906105738888e-4,0.010098359434224852,1057
209,1430,0.0027816283619823555,0.010086057908701703,1057
210,1430,0.003385652694850763,0.010090395160118266,1057
211,1440,0.002991256937074321,0.010364336722455703,1057
212,1440,0.0012159275118305533,0.01058527343985243,1057
213,1450,3.585658974795457e-5,0.010754063136109996,1057
214,1450,0.0014237354673729285,0.010541955002215239,1057
215,1460,0.0012567002948750934,0.0105617461936666,1057
216,1460,0.0013722129841141422,0.010648617838200253,1057
217,1470,0.0014588154758792674,0.010728234427071498,1057
218,1470,0.0015245486963482572,0.010652793582954368,1057
219,1480,0.0013623048785161944,0.01071176910244513,1057
220,1480,0.00127371545221027,0.010643724927673216,1057
221,1490,0.0014203167594584731,0.010579800110976955,1057
222,1490,0.0011687620638971526,0.010627195836388168,1057
223,1500,0.0010453846799005574,0.01063072501514009,1057
224,1500,0.0011644869291838706,0.010605175850350526,1057
225,1510,9.675360526075355e-4,0.010595459393080674,1057
226,1510,0.0011672641104366946,0.010574142861848893,1057
227,1520,0.0011370647195398018,0.0105477433415542,1057
228,1520,0.0011287576555468748,0.010519490036414567,1057
229,1530,0.0011476576553548239,0.010533547834955704,1057
